task_id              , attempt, benchmark            , benchmark_version                                        , repo          , repo_label, language , agent      , model_version                  , condition, status, runtime_sec, token_input, token_output, estimated_cost    , tool_calls, shell_commands, file_reads, search_actions, files_edited, patch_size, first_file_opened, first_file_edited, first_test_command, bitloops_context_tokens, evaluator_result
astral-sh__ruff-15309,       1, swebench_multilingual, datasets/swebench_multilingual.test.ruff.jsonl|split=test, astral-sh/ruff, astral-sh , astral-sh, claude_code, eu.anthropic.claude-opus-4-6-v1, baseline , solved,     288.248,          62,        11343, 1.2304614999999992,         58,               ,           ,              0,            4,       6344,                  ,                  ,                   ,                        , "{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15309,       2, swebench_multilingual, datasets/swebench_multilingual.test.ruff.jsonl|split=test, astral-sh/ruff, astral-sh , astral-sh, claude_code, eu.anthropic.claude-opus-4-6-v1, baseline , solved,     246.95 ,          48,         8581, 0.96484525        ,         46,               ,           ,              0,            3,       3570,                  ,                  ,                   ,                        , "{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15309,       3, swebench_multilingual, datasets/swebench_multilingual.test.ruff.jsonl|split=test, astral-sh/ruff, astral-sh , astral-sh, claude_code, eu.anthropic.claude-opus-4-6-v1, baseline , solved,     189.26 ,         198,        10592, 0.7889075000000002,         33,               ,           ,              0,            3,       7931,                  ,                  ,                   ,                        , "{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15309,       4, swebench_multilingual, datasets/swebench_multilingual.test.ruff.jsonl|split=test, astral-sh/ruff, astral-sh , astral-sh, claude_code, eu.anthropic.claude-opus-4-6-v1, baseline , solved,     201.284,          45,         7812, 0.8912827499999999,         40,               ,           ,              0,            3,       3511,                  ,                  ,                   ,                        , "{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15309,       5, swebench_multilingual, datasets/swebench_multilingual.test.ruff.jsonl|split=test, astral-sh/ruff, astral-sh , astral-sh, claude_code, eu.anthropic.claude-opus-4-6-v1, baseline , solved,     187.16 ,         637,         7667, 0.8547794999999998,         40,               ,           ,              0,            3,       3533,                  ,                  ,                   ,                        , "{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15309,       6, swebench_multilingual, datasets/swebench_multilingual.test.ruff.jsonl|split=test, astral-sh/ruff, astral-sh , astral-sh, claude_code, eu.anthropic.claude-opus-4-6-v1, baseline , solved,     162.954,          37,         7154, 0.7795694999999998,         35,               ,           ,              0,            3,       4292,                  ,                  ,                   ,                        , "{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15309,       7, swebench_multilingual, datasets/swebench_multilingual.test.ruff.jsonl|split=test, astral-sh/ruff, astral-sh , astral-sh, claude_code, eu.anthropic.claude-opus-4-6-v1, baseline , solved,     180.461,          81,         7143, 0.8573964999999998,         45,               ,           ,              0,            3,       4362,                  ,                  ,                   ,                        , "{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15309,       8, swebench_multilingual, datasets/swebench_multilingual.test.ruff.jsonl|split=test, astral-sh/ruff, astral-sh , astral-sh, claude_code, eu.anthropic.claude-opus-4-6-v1, baseline , solved,     176.529,         634,         6965, 0.8074312500000002,         37,               ,           ,              0,            3,       4118,                  ,                  ,                   ,                        , "{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15309,       9, swebench_multilingual, datasets/swebench_multilingual.test.ruff.jsonl|split=test, astral-sh/ruff, astral-sh , astral-sh, claude_code, eu.anthropic.claude-opus-4-6-v1, baseline , solved,     199.431,          81,         8068, 0.9702497500000002,         46,               ,           ,              0,            3,       4146,                  ,                  ,                   ,                        , "{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15309,      10, swebench_multilingual, datasets/swebench_multilingual.test.ruff.jsonl|split=test, astral-sh/ruff, astral-sh , astral-sh, claude_code, eu.anthropic.claude-opus-4-6-v1, baseline , solved,     189.775,         162,         7229, 0.8301512500000001,         37,               ,           ,              0,            3,       4181,                  ,                  ,                   ,                        , "{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15309,      11, swebench_multilingual, datasets/swebench_multilingual.test.ruff.jsonl|split=test, astral-sh/ruff, astral-sh , astral-sh, claude_code, eu.anthropic.claude-opus-4-6-v1, baseline , solved,     159.433,          38,         6572, 0.6604407499999999,         33,               ,           ,              0,            3,       4491,                  ,                  ,                   ,                        , "{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15309,      12, swebench_multilingual, datasets/swebench_multilingual.test.ruff.jsonl|split=test, astral-sh/ruff, astral-sh , astral-sh, claude_code, eu.anthropic.claude-opus-4-6-v1, baseline , solved,     182.394,          78,         7417, 0.8094430000000001,         41,               ,           ,              0,            3,       4305,                  ,                  ,                   ,                        , "{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15309,      13, swebench_multilingual, datasets/swebench_multilingual.test.ruff.jsonl|split=test, astral-sh/ruff, astral-sh , astral-sh, claude_code, eu.anthropic.claude-opus-4-6-v1, baseline , solved,     207.173,          49,         8789, 0.9288189999999998,         44,               ,           ,              0,            4,       6312,                  ,                  ,                   ,                        , "{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15309,      14, swebench_multilingual, datasets/swebench_multilingual.test.ruff.jsonl|split=test, astral-sh/ruff, astral-sh , astral-sh, claude_code, eu.anthropic.claude-opus-4-6-v1, baseline , solved,     210.235,         320,         8180, 0.9197920000000003,         46,               ,           ,              0,            4,       5618,                  ,                  ,                   ,                        , "{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15309,      15, swebench_multilingual, datasets/swebench_multilingual.test.ruff.jsonl|split=test, astral-sh/ruff, astral-sh , astral-sh, claude_code, eu.anthropic.claude-opus-4-6-v1, baseline , solved,     182.258,          41,         7903, 0.7940772500000001,         36,               ,           ,              0,            3,       3944,                  ,                  ,                   ,                        , "{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15309,      16, swebench_multilingual, datasets/swebench_multilingual.test.ruff.jsonl|split=test, astral-sh/ruff, astral-sh , astral-sh, claude_code, eu.anthropic.claude-opus-4-6-v1, baseline , solved,     217.871,         111,         8910, 1.02223075        ,         45,               ,           ,              0,            3,       4013,                  ,                  ,                   ,                        , "{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15309,      17, swebench_multilingual, datasets/swebench_multilingual.test.ruff.jsonl|split=test, astral-sh/ruff, astral-sh , astral-sh, claude_code, eu.anthropic.claude-opus-4-6-v1, baseline , solved,     165.652,         182,         6728, 0.7164317499999999,         36,               ,           ,              0,            3,       3570,                  ,                  ,                   ,                        , "{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15309,      18, swebench_multilingual, datasets/swebench_multilingual.test.ruff.jsonl|split=test, astral-sh/ruff, astral-sh , astral-sh, claude_code, eu.anthropic.claude-opus-4-6-v1, baseline , solved,     178.664,         210,         7122, 0.8223307499999997,         39,               ,           ,              0,            3,       4398,                  ,                  ,                   ,                        , "{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15309,      19, swebench_multilingual, datasets/swebench_multilingual.test.ruff.jsonl|split=test, astral-sh/ruff, astral-sh , astral-sh, claude_code, eu.anthropic.claude-opus-4-6-v1, baseline , solved,     226.333,          54,         9051, 1.0796427499999999,         49,               ,           ,              0,            3,       4449,                  ,                  ,                   ,                        , "{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
