task_id              , attempt, benchmark            , benchmark_version                                        , repo          , repo_label, language , agent      , model_version                  , condition, status  , runtime_sec, token_input, token_output, estimated_cost     , tool_calls, shell_commands, file_reads, search_actions, files_edited, patch_size, first_file_opened, first_file_edited, first_test_command, bitloops_context_tokens, evaluator_result
astral-sh__ruff-15309,       1, swebench_multilingual, datasets/swebench_multilingual.test.ruff.jsonl|split=test, astral-sh/ruff, astral-sh , astral-sh, claude_code, eu.anthropic.claude-opus-4-6-v1, baseline , solved  ,     208.408,         625,         6701, 0.8117682          ,         29,               ,           ,              0,            3,       4078,                  ,                  ,                   ,                        , "{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15330,       1, swebench_multilingual, datasets/swebench_multilingual.test.ruff.jsonl|split=test, astral-sh/ruff, astral-sh , astral-sh, claude_code, eu.anthropic.claude-opus-4-6-v1, baseline , unsolved,     355.139,          15,        15911, 0.92352475         ,         14,               ,           ,              0,            3,       4722,                  ,                  ,                   ,                        , "{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": false, ""unresolved"": true, ""error"": false}"
astral-sh__ruff-15356,       1, swebench_multilingual, datasets/swebench_multilingual.test.ruff.jsonl|split=test, astral-sh/ruff, astral-sh , astral-sh, claude_code, eu.anthropic.claude-opus-4-6-v1, baseline , solved  ,     263.044,          15,         7565, 0.7597063499999999 ,         13,               ,           ,              0,            2,       1600,                  ,                  ,                   ,                        , "{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15394,       1, swebench_multilingual, datasets/swebench_multilingual.test.ruff.jsonl|split=test, astral-sh/ruff, astral-sh , astral-sh, claude_code, eu.anthropic.claude-opus-4-6-v1, baseline , unsolved,     153.615,         385,         4769, 0.43587554999999994,         16,               ,           ,              0,            3,       3424,                  ,                  ,                   ,                        , "{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": false, ""unresolved"": true, ""error"": false}"
astral-sh__ruff-15443,       1, swebench_multilingual, datasets/swebench_multilingual.test.ruff.jsonl|split=test, astral-sh/ruff, astral-sh , astral-sh, claude_code, eu.anthropic.claude-opus-4-6-v1, baseline , solved  ,     111.077,        1918,         4013, 0.46354400000000007,         23,               ,           ,              0,            4,       2983,                  ,                  ,                   ,                        , "{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15543,       1, swebench_multilingual, datasets/swebench_multilingual.test.ruff.jsonl|split=test, astral-sh/ruff, astral-sh , astral-sh, claude_code, eu.anthropic.claude-opus-4-6-v1, baseline , solved  ,     136.777,         912,         4091, 0.4835052          ,         17,               ,           ,              0,            3,       2973,                  ,                  ,                   ,                        , "{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15626,       1, swebench_multilingual, datasets/swebench_multilingual.test.ruff.jsonl|split=test, astral-sh/ruff, astral-sh , astral-sh, claude_code, eu.anthropic.claude-opus-4-6-v1, baseline , solved  ,     168.421,          24,         5250, 0.6260859          ,         22,               ,           ,              0,            3,       5135,                  ,                  ,                   ,                        , "{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15309,       2, swebench_multilingual, datasets/swebench_multilingual.test.ruff.jsonl|split=test, astral-sh/ruff, astral-sh , astral-sh, claude_code, eu.anthropic.claude-opus-4-6-v1, baseline , solved  ,     190.342,         622,         5071, 0.5676751000000002 ,         26,               ,           ,              0,            3,       3744,                  ,                  ,                   ,                        , "{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15330,       2, swebench_multilingual, datasets/swebench_multilingual.test.ruff.jsonl|split=test, astral-sh/ruff, astral-sh , astral-sh, claude_code, eu.anthropic.claude-opus-4-6-v1, baseline , solved  ,     268.654,          17,        10895, 0.75594295         ,         16,               ,           ,              0,            2,       2223,                  ,                  ,                   ,                        , "{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
astral-sh__ruff-15356,       2, swebench_multilingual, datasets/swebench_multilingual.test.ruff.jsonl|split=test, astral-sh/ruff, astral-sh , astral-sh, claude_code, eu.anthropic.claude-opus-4-6-v1, baseline , solved  ,     293.983,          21,        10720, 0.9815592          ,         19,               ,           ,              0,            2,       1612,                  ,                  ,                   ,                        , "{""source"": ""summary_ids"", ""submitted"": true, ""resolved"": true, ""unresolved"": false, ""error"": false}"
