task_id,repo,status,runtime_sec,token_input,token_output,cache_creation_input_tokens,cache_read_input_tokens,cache_creation_ephemeral_5m_input_tokens,cache_creation_ephemeral_1h_input_tokens,bedrock_cost_usd,tool_calls,files_edited,patch_size
astral-sh__ruff-15309,astral-sh/ruff,solved,238.851,43,8079,37996,1133293,37996,0,1.0063115,55,3,4605
astral-sh__ruff-15330,astral-sh/ruff,solved,270.95,15,12558,40067,379852,40067,0,0.75436975,20,3,3815
astral-sh__ruff-15356,astral-sh/ruff,solved,232.719,17,6865,55265,621066,55265,0,0.82764925,39,2,1905
astral-sh__ruff-15394,astral-sh/ruff,unsolved,182.836,391,8663,36027,510708,36027,0,0.69905275,27,3,5517
astral-sh__ruff-15443,astral-sh/ruff,solved,113.762,279,4484,19837,476277,19837,0,0.47561475,25,4,2975
astral-sh__ruff-15543,astral-sh/ruff,solved,146.974,18,4244,25202,437219,25202,0,0.48231199999999996,29,3,3161
astral-sh__ruff-15626,astral-sh/ruff,solved,122.499,14,3699,20178,273634,20178,0,0.3554745,35,3,5229
burntsushi__ripgrep-2209,burntsushi/ripgrep,solved,378.526,33,11117,27774,802846,27774,0,0.8531005,70,2,1742
burntsushi__ripgrep-2576,burntsushi/ripgrep,solved,317.71,60,14091,39587,883719,39587,0,1.04185325,26,2,1635
nushell__nushell-12901,nushell/nushell,solved,122.259,73,3600,20451,384470,20451,0,0.41041875,34,4,2104
nushell__nushell-12950,nushell/nushell,solved,19.405,6,680,17646,75628,17646,0,0.16513150000000004,3,1,765
nushell__nushell-13246,nushell/nushell,solved,28.408,73,1219,19302,118289,19302,0,0.210622,6,2,1580
nushell__nushell-13605,nushell/nushell,solved,264.485,32,7008,22291,711269,22291,0,0.67031325,30,2,3606
nushell__nushell-13831,nushell/nushell,solved,65.349,12,2807,19173,200670,19173,0,0.29040125,20,1,3354
sharkdp__bat-1892,sharkdp/bat,solved,370.993,2754,14973,56064,2242433,56064,0,1.8597114999999997,64,6,6502
sharkdp__bat-2201,sharkdp/bat,unsolved,269.562,3,22,443,32061,443,0,0.019364249999999996,38,2,4636
sharkdp__bat-2260,sharkdp/bat,unsolved,130.894,56,4352,31375,633337,31375,0,0.62184225,22,2,1880
sharkdp__bat-2393,sharkdp/bat,solved,50.947,14,2482,12631,214754,12631,0,0.24844075,12,3,2798
sharkdp__bat-2650,sharkdp/bat,solved,37.501,11,1336,18421,167122,18421,0,0.23214724999999997,8,1,518
sharkdp__bat-2835,sharkdp/bat,unsolved,172.877,149,5792,30459,568400,30459,0,0.62011375,25,2,4066
sharkdp__bat-3108,sharkdp/bat,unsolved,183.098,19,5462,19717,374801,19717,0,0.44727675,35,2,4917
sharkdp__bat-562,sharkdp/bat,solved,17.538,59,607,11062,62809,11062,0,0.116012,4,1,607
tokio-rs__axum-1119,tokio-rs/axum,solved,181.192,323,6764,21129,507758,21129,0,0.55665025,39,2,6316
tokio-rs__axum-1730,tokio-rs/axum,solved,292.489,26,10728,49766,929491,49766,0,1.044113,35,1,955
tokio-rs__axum-1934,tokio-rs/axum,solved,151.507,2983,4538,24508,555887,24508,0,0.5594835,23,2,1462
tokio-rs__axum-2096,tokio-rs/axum,solved,420.78,2644,15744,42491,702311,42491,0,1.02354425,43,3,9605
tokio-rs__axum-682,tokio-rs/axum,solved,26.61,10,1241,9653,127105,9653,0,0.15495875,7,2,1163
tokio-rs__axum-691,tokio-rs/axum,solved,84.425,49,3087,14838,267117,14838,0,0.303716,14,2,1709
tokio-rs__axum-734,tokio-rs/axum,unsolved,45.165,11,2758,14182,169685,14182,0,0.242485,8,1,2764
tokio-rs__tokio-4384,tokio-rs/tokio,unsolved,203.841,231,8942,29485,594473,29485,0,0.70622275,45,6,2497
tokio-rs__tokio-4867,tokio-rs/tokio,solved,28.468,8,1182,10127,95781,10127,0,0.14077425,5,1,466
tokio-rs__tokio-4898,tokio-rs/tokio,unsolved,43.402,10,1513,12907,144738,12907,0,0.19091275,8,2,995
tokio-rs__tokio-6551,tokio-rs/tokio,solved,61.654,49,2994,15457,269555,15457,0,0.30647875,16,2,1542
tokio-rs__tokio-6603,tokio-rs/tokio,solved,77.378,172,3142,16835,247120,16835,0,0.30818875,13,2,1454
tokio-rs__tokio-6724,tokio-rs/tokio,solved,63.1,11,2980,15202,162353,15202,0,0.250744,9,2,3823
tokio-rs__tokio-6752,tokio-rs/tokio,solved,57.108,1133,2845,14954,233966,14954,0,0.2872355,13,2,1197
tokio-rs__tokio-6838,tokio-rs/tokio,solved,14.058,341,775,9777,42197,9777,0,0.10328475000000001,4,2,1172
tokio-rs__tokio-7139,tokio-rs/tokio,solved,66.27,16,3219,13509,258178,13509,0,0.29407525,13,2,1635
uutils__coreutils-6377,uutils/coreutils,unsolved,297.931,34,9601,73043,1821896,73043,0,1.60766175,46,2,10494
uutils__coreutils-6575,uutils/coreutils,unsolved,160.429,15,2884,23132,248668,23132,0,0.341084,40,1,1975
uutils__coreutils-6682,uutils/coreutils,solved,136.158,14,3716,28336,261581,28336,0,0.40086049999999995,19,2,3392
uutils__coreutils-6690,uutils/coreutils,unsolved,183.012,105,5734,30881,680322,30881,0,0.67704225,31,2,997
uutils__coreutils-6731,uutils/coreutils,solved,74.341,10,2165,11800,135127,11800,0,0.1954885,18,2,2027
