task_id,repo,status,runtime_sec,token_input,token_output,cache_creation_input_tokens,cache_read_input_tokens,cache_creation_ephemeral_5m_input_tokens,cache_creation_ephemeral_1h_input_tokens,bedrock_cost_usd,tool_calls,files_edited,patch_size
astral-sh__ruff-15309,astral-sh/ruff,solved,357.513,625,6640,32790,695841,32790,0,0.721983,35,3,5003
astral-sh__ruff-15330,astral-sh/ruff,solved,370.825,733,7651,34337,317084,34337,0,0.56808825,18,3,4288
astral-sh__ruff-15356,astral-sh/ruff,solved,327.42,51,4797,43185,424899,43185,0,0.6025357499999999,23,2,1878
astral-sh__ruff-15394,astral-sh/ruff,unsolved,370.226,388,7702,29504,422782,29504,0,0.5902810000000001,21,3,5030
astral-sh__ruff-15443,astral-sh/ruff,solved,272.337,55,3926,19350,453205,19350,0,0.445965,23,4,3332
astral-sh__ruff-15543,astral-sh/ruff,solved,407.519,29,8357,41880,947234,41880,0,0.944437,39,3,2860
astral-sh__ruff-15626,astral-sh/ruff,solved,292.897,17,4058,23064,375463,23064,0,0.4334165,31,3,5160
burntsushi__ripgrep-2209,burntsushi/ripgrep,solved,260.906,96,9441,26216,751104,26216,0,0.775907,54,2,3465
burntsushi__ripgrep-2576,burntsushi/ripgrep,solved,163.133,79,7936,30960,388851,30960,0,0.5867205,14,2,1704
nushell__nushell-12901,nushell/nushell,solved,224.82,1263,2086,17669,183976,17669,0,0.26088425000000004,60,2,1023
nushell__nushell-12950,nushell/nushell,solved,68.889,10,1480,19807,183900,19807,0,0.25279375000000004,7,2,1556
nushell__nushell-13246,nushell/nushell,solved,216.514,15,2617,22492,319510,22492,0,0.36583,13,2,1646
nushell__nushell-13605,nushell/nushell,solved,187.458,24,5528,23276,504302,23276,0,0.535946,27,2,3693
nushell__nushell-13831,nushell/nushell,solved,128.437,3086,3703,19321,243619,19321,0,0.35057075000000004,21,2,4585
sharkdp__bat-1892,sharkdp/bat,solved,261.768,4663,9914,50676,1293786,50676,0,1.234783,61,7,8933
sharkdp__bat-2201,sharkdp/bat,unsolved,96.988,9,1519,12891,125459,12891,0,0.18131825000000001,17,1,1741
sharkdp__bat-2260,sharkdp/bat,unsolved,153.712,24,4952,41976,599029,41976,0,0.6857845,22,2,2609
sharkdp__bat-2393,sharkdp/bat,solved,69.177,203,2774,13846,237808,13846,0,0.2758065,13,3,2804
sharkdp__bat-2650,sharkdp/bat,solved,105.483,51,2709,18838,352125,18838,0,0.36178,16,2,1453
sharkdp__bat-2835,sharkdp/bat,unsolved,125.664,89,5046,22424,475266,22424,0,0.504378,23,2,4066
sharkdp__bat-3108,sharkdp/bat,unsolved,87.958,6,1319,12421,63715,12421,0,0.14249375,22,1,869
sharkdp__bat-562,sharkdp/bat,solved,43.838,341,884,11231,81152,11231,0,0.13457475,11,1,607
tokio-rs__axum-1119,tokio-rs/axum,solved,202.812,1760,7984,23879,785606,23879,0,0.7504467499999999,45,3,7231
tokio-rs__axum-1730,tokio-rs/axum,solved,775.922,2057,40062,87829,2384387,87829,0,2.7529597499999996,55,2,3738
tokio-rs__axum-1934,tokio-rs/axum,solved,99.25,21,3947,18904,414773,18904,0,0.42431650000000004,19,2,1462
tokio-rs__axum-2096,tokio-rs/axum,solved,562.149,720,27917,62095,2731738,62095,0,2.45548775,82,3,10643
tokio-rs__axum-682,tokio-rs/axum,solved,26.446,8,896,9617,92226,9617,0,0.12865925,5,2,1163
tokio-rs__axum-691,tokio-rs/axum,solved,60.836,637,2833,13821,243423,13821,0,0.28210275,14,2,1719
tokio-rs__axum-734,tokio-rs/axum,unsolved,47.718,11,2739,16025,169566,16025,0,0.25346925,8,1,2764
tokio-rs__tokio-4384,tokio-rs/tokio,unsolved,169.983,35,6619,25945,841801,25945,0,0.74870675,46,6,2497
tokio-rs__tokio-4867,tokio-rs/tokio,solved,76.585,16,2462,13958,264589,13958,0,0.28116199999999997,13,2,954
tokio-rs__tokio-4898,tokio-rs/tokio,unsolved,41.603,10,1334,12577,143682,12577,0,0.18384725000000002,7,2,995
tokio-rs__tokio-6551,tokio-rs/tokio,solved,70.506,48,2799,16129,247894,16129,0,0.29496825,15,2,1542
tokio-rs__tokio-6603,tokio-rs/tokio,solved,101.656,1375,4309,20045,267947,20045,0,0.37385475,14,2,1498
tokio-rs__tokio-6724,tokio-rs/tokio,solved,92.508,16,4346,16830,282231,16830,0,0.35503300000000004,14,2,4157
tokio-rs__tokio-6752,tokio-rs/tokio,solved,49.318,1195,1792,14207,123820,14207,0,0.20147875,8,1,570
tokio-rs__tokio-6838,tokio-rs/tokio,solved,32.436,5,813,9813,42587,9813,0,0.10297474999999999,4,2,1172
tokio-rs__tokio-7139,tokio-rs/tokio,solved,47.817,9,1428,14087,119641,14087,0,0.18360925,6,2,1421
uutils__coreutils-6377,uutils/coreutils,unsolved,256.065,475,7554,51932,1167031,51932,0,1.0993155,42,2,7050
uutils__coreutils-6575,uutils/coreutils,unsolved,175.97,20,3848,23583,482235,23583,0,0.48481124999999997,40,2,3014
uutils__coreutils-6682,uutils/coreutils,solved,89.107,10,2157,17259,151941,17259,0,0.23781425,10,2,1921
uutils__coreutils-6690,uutils/coreutils,unsolved,217.0,33,7321,25801,760798,25801,0,0.72484525,31,2,1050
uutils__coreutils-6731,uutils/coreutils,solved,88.18,10,2093,11922,136251,11922,0,0.195013,11,2,2175
